AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
0.0452,0.0264,0.021200000000000004,0.0124,0.018,0.027200000000000002,0.026000000000000002,0.0,0.0184,0.014799999999999999,0.0184,0.0084,0.020800000000000003,0.0188,0.021200000000000004,0.0372,0.0004,I need to take a break
0.0232,0.0008,0.022799999999999997,0.011200000000000002,0.0204,0.033999999999999996,0.0196,0.006,0.013999999999999999,0.0008,0.0128,0.027200000000000002,0.0124,0.032,0.022000000000000002,0.04360000000000001,0.0068000000000000005,I need to take a break
0.0248,0.005200000000000001,0.04240000000000001,0.0196,0.024399999999999998,0.0364,0.0364,0.0072,0.0124,0.0024000000000000002,0.0116,0.0172,0.016399999999999998,0.0204,0.0304,0.04240000000000001,0.008,I need to take a break
0.0072,0.0,0.0392,0.0,0.0152,0.057199999999999994,0.0408,0.011200000000000002,0.0168,0.0,0.005600000000000001,0.017599999999999998,0.0,0.016,0.054400000000000004,0.03319999999999999,0.0,I need to take a break
0.0036,0.0,0.03,0.010400000000000001,0.016,0.033999999999999996,0.04440000000000001,0.027999999999999997,0.0172,0.0,0.013600000000000001,0.0256,0.0,0.0196,0.0556,0.0496,0.0,I need to take a break
0.0128,0.002,0.0356,0.0184,0.0216,0.0388,0.047599999999999996,0.02,0.019200000000000002,0.0,0.013600000000000001,0.012,0.0,0.013999999999999999,0.0776,0.0452,0.005600000000000001,I need to take a break
0.0252,0.014799999999999999,0.029199999999999997,0.0084,0.020800000000000003,0.0108,0.032,0.0152,0.019200000000000002,0.0,0.0032,0.016,0.0064,0.013999999999999999,0.0588,0.04240000000000001,0.0076,I need to take a break
0.0076,0.0,0.03,0.011200000000000002,0.016,0.0196,0.04240000000000001,0.0152,0.0256,0.0,0.0,0.013999999999999999,0.0,0.017599999999999998,0.0628,0.048799999999999996,0.0,I need to take a break
0.0,0.0,0.0264,0.0216,0.0216,0.0288,0.0376,0.019200000000000002,0.0256,0.0,0.004,0.0128,0.0064,0.011200000000000002,0.08080000000000001,0.0644,0.004,I need to take a break
0.0128,0.0,0.024399999999999998,0.0064,0.0108,0.0156,0.0356,0.0124,0.0204,0.0,0.0008,0.0152,0.0,0.0204,0.0744,0.0596,0.0,I need to take a break
